source,link,date,grade,scoreType,text,upThumbs,totalThumbs,helpfulness
CyberRobotnix,http://www.metacritic.com/user/CyberRobotnix,"Jan 26, 2023",2,Negative,"Green reviews are paid reviews. Bad game with bad narrative, boring as hell, etc.",18,26,0.6923076923076923
joshvdw,http://www.metacritic.com/user/joshvdw,"Jan 26, 2023",0,Negative,"garbage game, developers should be ashamed to release such dumbed down gameplay",22,32,0.6875
GOLDDEAD,http://www.metacritic.com/user/GOLDDEAD,"Jan 25, 2023",2,Negative,"The world comes off as bland, empty and generic. The protagonist are unlikable with all their tounge-in-cheek bantering, and the dialogue comes off as cringey most of the time. The different bio-domes are amount to just colored filters. The story was as generic as the world and felt like it was written by an A.IThe only plus I can give was its combat sytem, but it was soured by the lack of/amount of recycled enemies through the game.If you really want to dive into this game, Play the demo first. My experience was exactly the same as when I played the demo, only difference was that my bad experience is prolonged in the full version of the game.",24,35,0.6857142857142857
slipperyseagull,http://www.metacritic.com/user/slipperyseagull,"Jan 26, 2023",2,Negative,"$95 cad, for a mediocre at best, terribly optimized game? No thanks. Save your money and buy 5 great indie titles instead.",26,38,0.6842105263157895
BlizzardSuckz,http://www.metacritic.com/user/BlizzardSuckz,"Jan 30, 2023",0,Negative,Unoptimized woke trash. More one liners than Marvel movies. Lags even on RTX 4090. For 80 Euro you can get at least 3 better games.,17,25,0.68
woohoosims,http://www.metacritic.com/user/woohoosims,"Jan 30, 2023",1,Negative,"Sorry but this game is a perfect example of woke, overhyped garbage. It was very promising from what we saw in trailers but I feel like the finished product is a parody of what it could have been. The writing is weak, solidified by the over use of the F-bomb. The voice acting is cringe to the point where the sound of the protagonists voice actually gets on my nerves after a little while. Graphically I find it underwhelming, especially with how much Square Enix hyped up how hard they were working on it. I guess this is just a reminder that not everything Sony throws money at is going to be a hit.",17,25,0.68
Braedon1414,http://www.metacritic.com/user/Braedon1414,"Jan 26, 2023",0,Negative,"They delayed reviews by a day to try to not get as many negative reviews. They didn’t send any PC review codes. That’s some shady practices, Gameplay is just terrible all the way around. Bland world,terrible story,uninspired characters.",19,28,0.6785714285714286
AlohomoraYrAss,http://www.metacritic.com/user/AlohomoraYrAss,"Jan 26, 2023",0,Negative,"Usles game, waste of time, bad story, verry expensive, the girl is anoying.",23,34,0.6764705882352942
GUNSjk20,http://www.metacritic.com/user/GUNSjk20,"Jan 25, 2023",3,Negative,The dialog is the worst part of the game. Frey's personality is dead. That is not how you write teen angst. The magic effects are pretty.,26,39,0.6666666666666666
MontiBLK,http://www.metacritic.com/user/MontiBLK,"Jan 26, 2023",0,Negative,"Boring, terrible awful like Sony Games. This game really is BADDamn didn’t think it was gonna suck this bad",18,27,0.6666666666666666
Maestr0oo,http://www.metacritic.com/user/Maestr0oo,"Jan 26, 2023",0,Negative,2008 games have better gameplay and stories than this.Dont waste your gaming time here.I did for a few hours and its miserable.Its not even so bad its good.Its straight up bad and cringe.I should have listened but hey i wanted to check out the world.I had it coming.There is nothing to review here.Its a joke of a game.Im frustrated at myself that i even gave this a chance,18,27,0.6666666666666666
Jarniac,http://www.metacritic.com/user/Jarniac,"Jan 26, 2023",0,Negative,"One of the worst games i've ever played! Absolute zero likeable characters, specially the main character wich is the most annoying girl i've seen in a video game!",16,24,0.6666666666666666
tjr074,http://www.metacritic.com/user/tjr074,"Jan 25, 2023",4,Negative,"Can be fun at times but it's mostly a mess. I got this for the PS5 because Square has a history of messing up PC ports with terrible optimization and performance but I can say the performance here is pretty bad. I like to play with at least 60 fps but even in performance mode it obviously drops below that constantly. Constant stutters even in closed rooms, combat and open world have even worse with stuttering. Any other mode runs 30 fps and still has some noticeable stuttering and frame rate drops. Graphics are OK but I certainly wouldn't call them great. Games like God of War: Ragnarok, Horizon and many others all look better and perform much better. Gameplay and combat can be fun but there's nothing special or really all that new. Story is not terrible but not great, the main character is completely unlikable which really takes away from my engagement. I haven't finished the game yet so maybe she gets better. Pacing is way off. Long stretches of boring, insignificant story and wondering around the city go on far too long before getting to any actual action. It's fine for a little bit, but this is way too long. I may make it through the game, I may not. I may also just shelve it for a few months and try again to see if Square actually releases any patches to fix the performance but they aren't known for putting out timely patches so I'm not holding my breath. Overall, this is a game that did have some potential but is nearly a complete miss.",21,32,0.65625
SeriousGameFan,http://www.metacritic.com/user/SeriousGameFan,"Jan 26, 2023",0,Negative,"I WANT more good games to come out this year, so I was hoping this would be good.  Unfortunately, it is not. The dialogue is so cringe and insufferable, that the devs had an option to lessen or mute it, entirely. I don't know why they think this kind of banter and personality type would be a hit to the masses. Gameplay is unengaging and boring; doesn't feel impactful and the enemy AI is mindless. It's simply all flash; and nothing underneath.  Hopefully this puts an end to this kind of writing.",22,34,0.6470588235294118
Lekfaninte,http://www.metacritic.com/user/Lekfaninte,"Jan 26, 2023",0,Negative,Cringe and bad voice acting 720p with 60 fps lol this game is not wroth 70$,17,27,0.6296296296296297
enut_butter,http://www.metacritic.com/user/enut_butter,"Jan 25, 2023",0,Negative,"Whatever few positive points I can find to say about this game (the traversal can be satisfying, especially later on as more movement abilities open up) are swallowed up in totality the cloud of Forspoken’s mediocre graphics, disturbingly bad writing, and shallow combat. An absolute disaster of a game with a particularly unlikable protagonist.",56,89,0.6292134831460674
Yourmumsbills,http://www.metacritic.com/user/Yourmumsbills,"Jan 25, 2023",0,Negative,"Whoa! This game really is BAD! Somehow the writers (if there actually were any?!) have managed to create possibly the most irritating and unlikeable character in the history of gaming who is incapable of uttering a single sentence without swearing constantly, she's bitter, mean and just horrible in every way. Apparently there is a narrative but good luck figuring out what it is, as the writing is terrible. Not even the gameplay or game world are well done. The combat and traversal just feel too floaty, the ""enemies"" (a lot of which are just animals in the game world) are the most generic dull creations you can imagine. Then you have numbers spilling out all over the place during combat which looks awful, then there's the graphics which seem to switch between reasonable looking to low rez 720p and lower. As for the game world itself, it's just lazily designed and rather dull looking, there's just nothing very inventive about the world design...oh and the npcs are all brain dead. There's literally nothing good in this game at all. Quite an achievement for Square Enix!",57,92,0.6195652173913043
Kevkanders,http://www.metacritic.com/user/Kevkanders,"Jan 25, 2023",4,Negative,"The open world was massively boring for me. This game is not engaging whatsoever, and the combat is mediocre at best.",37,60,0.6166666666666667
Casparmelchior,http://www.metacritic.com/user/Casparmelchior,"Jan 25, 2023",0,Negative,"Major flaws of this game:> outdated open world design> empty world only made big to pretend there is scope> repetitive gameplay> outdated graphics (early PS4 era)> atrocious writing> horrible narrative design",38,62,0.6129032258064516
joeviglione,http://www.metacritic.com/user/joeviglione,"Jan 25, 2023",2,Negative,"this game could have been so much cooler, except they chose to make it cringe. refunded.",31,51,0.6078431372549019
PewPewBangDead,http://www.metacritic.com/user/PewPewBangDead,"Jan 25, 2023",0,Negative,Damn didn’t think it was gonna suck this bad. First disappointment of 2023.,47,79,0.5949367088607594
BenFauWriter,http://www.metacritic.com/user/BenFauWriter,"Jan 25, 2023",0,Negative,"Empty world, kinda boring and generic, graphics aren't great in performance mode, npc are poorly made (looks like a ps4 game). However, parkour is original and fun.",16,27,0.5925925925925926
Macintosh1001,http://www.metacritic.com/user/Macintosh1001,"Jan 25, 2023",3,Negative,"The world comes off as bland, empty and generic. The protagonist are unlikable with all their tounge-in-cheek bantering, and the dialogue comes off as cringey most of the time. The different bio-domes are amount to just colored filters. The story was as generic as the world and felt like it was written by an A.I The only plus I can give was its combat sytem, but it was soured by the lack of/amount of recycled enemies through the game. If you really want to dive into this game, Play the demo first. My experience was exactly the same as when I played the demo, only difference was that my bad experience is prolonged in the full version of the game.",16,27,0.5925925925925926
Daniel2009,http://www.metacritic.com/user/Daniel2009,"Jan 25, 2023",0,Negative,This game wasn't fun the story was really boring and the characters were poorly executed,43,73,0.589041095890411
MoonPayme,http://www.metacritic.com/user/MoonPayme,"Jan 25, 2023",0,Negative,I hate it how Optimization is an after thought in modern gaming. Especially for something that looks like an early PS4 game,24,42,0.5714285714285714
saig-by,http://www.metacritic.com/user/saig-by,"Jan 25, 2023",0,Negative,"One of the worst games I've ever seen. At first I began to list the shortcomings in detail, but when I got to half it turned out to be a huge wall of text, so I gave it up ... Just don't buy this misunderstanding ...",16,28,0.5714285714285714
krutoj,http://www.metacritic.com/user/krutoj,"Jan 25, 2023",3,Negative,"This is ""Baby's first open world game"". It's so formulaic, that you can name any open world cliche and it will be in the game. Square Enix should have made this game linear, maybe then it would have been good. As it stands now it's just a subpar open world game in an ocean of open world games.",16,28,0.5714285714285714
Geo3891,http://www.metacritic.com/user/Geo3891,"Jan 25, 2023",0,Negative,"Todo esta mal con esta porqueria, soundtrack soso, gameplay poco intuitivo y para nada divertido, es todo lo contrario, es frustrante y eso es malo, el juego quiere copiarle a Sonic Frontiers con el concepto de recorrer un mundo abierto a toda velocidad, pero ForsWOKEn fracasa en todo y Sonic no, Forspoken tiene un mundo abierto vacío y demasiado pequeño, mas bien deberia llamarse ""patio de juegos"", la mecánica de los hechizos es un punto a destacar y el único punto bueno del juego, pero eso no salva todo el desastre que es, el combate es repetitivo, aburrido y recompensa poco, el apartado artístico es basura, con un mundo medieval genérico y el diseño de los enemigos y personajes lo empeora, la narrativa es horripilante, se llega poner fuerte a mediados del juego pero no se pone tan fuerte que digamos y no la salva por completo, solo se trata de una historia de tu tipico Isekai genérico y ya, con una protagonista con nada de personalidad, desarrollo o carisma, es un protagonista plano como fue de esperarse y las actuaciones y expresiones faciales de los personajes son tan pero TAAAAAAN horripilantes, que hace ver las actuaciones y expresiones del Sonic Adventure de Dreamcast como una obra maestra.Como conclusión... Forspoken es una cosa genérica, que desde la Tokyo Game Show estaba apestando a flatulencias y que los Sonyers con todo orgullo van a tragarse y defender esta cosa a capa y espada porque es su exclusivo, mejor invierte esos 70 dolares en algo que valga la pena como Mario Odyssey, Kirby and the Fogotten Land o Sonic Frontiers o ahorrarlos para futuros lanzamientos de videojuegos como Zelda Tears of the Kingdom, RE4 Remake o Hogwarts Legacy, si dudabas de este juego, tenias razon, es un bodrio y un chiste mal contado. ESTE VIDEOJUEGO NADA ESPERABA O NADA DIO",33,58,0.5689655172413793
D4N-D3MANN,http://www.metacritic.com/user/D4N-D3MANN,"Jan 25, 2023",0,Negative,"This game is a pure joke. Poor story. Downgraded graphics from the trailer big time. A bland and boring open world, bad dialogue and Soundtrack that’s extremely annoying. The only upside is gameplay is fluid and fast but that alone is not worth 79,99€ for the standard European version. Can’t even refund because of PlayStations policies. Guess jokes on me. #sonyiwantmymoney ",39,69,0.5652173913043478
theprotagonist,http://www.metacritic.com/user/theprotagonist,"Jan 25, 2023",0,Negative,"We all knew from the trailers that the protagonist would be annoying as hell. I thought though that I could just change the language to Japanese and everything else would be solid. I should've known better. Not only is the protagonist super annoying, but everything else is terrible as well: poor overall story and writing, shallow combat, dissapointing graphics. Don't buy into the marketing; this game is just flat-out bad.",35,62,0.5645161290322581
razordaman,http://www.metacritic.com/user/razordaman,"Jan 25, 2023",0,Negative,"The game looks last gen and performs horribly. What really gets the low score here is the absolute disaster of a story, a main character that completely fails and who hates the world every single minute of her life. They even let you lower the amount she talks because its so awful. Did I mention she uses cuss words every third word? There is only one reason this game was made, diversity.....everything else in the game was an afterthought",36,65,0.5538461538461539
KoolMB,http://www.metacritic.com/user/KoolMB,"Jan 25, 2023",0,Negative,"Had potential but was ruined by poor writing, characters, and optimization...",31,56,0.5535714285714286
Sonicnomad,http://www.metacritic.com/user/Sonicnomad,"Jan 25, 2023",3,Negative,"What can I say.  Last last gen graphics, typical storyline, horrible dialogue, main character is an unbearable foul mouth , unlikable mess, combat is clumsy and repetitive repetitive repetitive.  Jumping around in the open world is the only thing that's remotely fun.  It's a game that should have been released 5-6 years ago and even then I'd still give it a 3/10.  Plenty of better games out there.  Stay clear of this one.",16,29,0.5517241379310345
AstralDarkstar,http://www.metacritic.com/user/AstralDarkstar,"Jan 25, 2023",0,Negative,Awful game. Definitely not a 10. Stop defending this trash so SE can release better.,17,31,0.5483870967741935
PickleRickx,http://www.metacritic.com/user/PickleRickx,"Jan 25, 2023",0,Negative,"Huge let down, for a Playstation exclusive this is absolutely trash. Boring empty open world, ABSOLUTELY BORING PROTAGONIST who's cringe af and I hate with passion.and no character development with major lack in backstory or story at all...so much you don't find yourself caring about the people/world you're supposed to be saving. Good concept poor execution and to say",30,55,0.5454545454545454
Cayde16,http://www.metacritic.com/user/Cayde16,"Jan 25, 2023",0,Negative,"Worst dialog and voice acting I've ever  experienced in a game. Open world seems pointless with the path of the game, feels very linear. Gameplay is uninteresting.Recommend passing on this one. Or at least wait for a deep sale.",27,50,0.54
Vektron,http://www.metacritic.com/user/Vektron,"Jan 25, 2023",0,Negative,"Awful game, mediocre gameplay, poor performance beyond my understanding. Do not buy this game!",23,43,0.5348837209302325
terrapong,http://www.metacritic.com/user/terrapong,"Jan 25, 2023",0,Negative,"Get ready for your ears to bleed because this game is cringe beyond belief. The game isn't worth 4 dollars. Seriously, go install UE5 and run their free tech demos and you will have a funner time than this game. If Square Enix has any integrity they should allow refunds for anyone that asks.",32,60,0.5333333333333333
Steyraus,http://www.metacritic.com/user/Steyraus,"Jan 25, 2023",1,Negative,"Cringe in game form...That is what this is...Its the same toxic level of cringe we got from the terible Saints Row Reboot..The gameplay is wonky and repetative, they expect flashy particle effects and big explosions to make up for the messy unsatisfying feel of it all. Your unlikable ( politically corect, ceiling breaking) protagonist  flops around the screen like a fish out of water spewing tech effects in all directions,. Its just lazy and uninspired. This is another game where you might be in another world but everyone acts and talks like the are on a college campus in California  or San fransisco. Horrible writing and characters! Another painful modern game with painful modern writing, bloated mechanics and stale over blown gameplay.",16,30,0.5333333333333333
Salt_addict,http://www.metacritic.com/user/Salt_addict,"Jan 25, 2023",0,Negative,Amazing game the traversal the gameplay mechanics spotbon ignore the hate and just have fun I especially love how the cuffs voice is similar to Jarvis from Iron man! for balance,25,49,0.5102040816326531
Hagakuree,http://www.metacritic.com/user/Hagakuree,"Jan 25, 2023",0,Negative,"Muy repetitivo, gráficamente bueno pero aburrido. Mundo abierto vacío, repetición de monstruos, misiones secundarias aburridas y el combate repetitivo. Ni por 60 euros lo hubiera comprado… en GAME en menos de un mes vale 30 euros… y los diálogos cuando pasas porque ya lo has leído se para y carga la siguiente frase. MUY MAL SQUARE.",20,40,0.5
Steddag1,http://www.metacritic.com/user/Steddag1,"Jan 26, 2023",10,Positive,"The hate for this game is overblown! Seriously! People ya really going to let people on the internet dictate what you like? I know I'm not going to allow anybody to dictate my purchase without doing sny research myself. Watch a walkthroughs and gameplays. Speaking of gameplay, its so awesome. Summon plants to shoot condense rocks at enemies. Summon clones made of fire to distract massive amount of enemies from charging you. You never could breathe there are always Monsters that is corrupted attacking you. Water magic that you surround alot of enemies and explode it at will. Electric magic that you Summon thunder, and etc. It has two endings for replay ability so worth it. The dialogues are much funnier. Those clips online were taking out of context so it seemed. I was caught off just like you but Forspoken is worth picking up. You won't regret it. I'm eager to get back into the world. I'm going to platinum it",46,186,0.24731182795698925
Leviatra,http://www.metacritic.com/user/Leviatra,"Feb  5, 2023",0,Negative,"The hate on the Game is way too hard. But its also not the best Game of all times.Most fun Gameplay i had in a long time tho.The Story is good but feels fast foward after 2nd Main Boss.Its wasted potential and could be better. I did and would again buy it but you could also wait i guess.",4,4,1.0
hmlott,http://www.metacritic.com/user/hmlott,"Feb 16, 2023",1,Negative,This is the same dev that made Final Fantasy? It's so bad. I guess it gets a single point because the game loads and you can pet the cat.,3,3,1.0
Not_too,http://www.metacritic.com/user/Not_too,"Feb  2, 2023",0,Negative,Lol Square Enix strikes again with its **** games. Glad I lost interest after the travesty that was FF7 remake,3,3,1.0
hernfc,http://www.metacritic.com/user/hernfc,"Feb 18, 2023",0,Negative,"Woke propaganda all over. Main character is unlikeable. Glad didn't purchase it, couldn't even stand to play the demo throughly. Get woke, go broke.",2,2,1.0
gandolfo1984,http://www.metacritic.com/user/gandolfo1984,"Feb  2, 2023",0,Negative,"Realmente es un asco, mala narrativa, jugabilidad, super repetitivo... Teniendo esta nueva generacion donde podrian hacer cosas realmente buenas Sony vive haciendo basura",2,2,1.0
RolandOG,http://www.metacritic.com/user/RolandOG,"Feb  4, 2023",2,Negative,"One of the best examples to date of market research gone horribly wrong. Time to go back to the drawing board and plug your ears when Twitter starts to tell you what we want. The game performs terribly. There is a team that had great ideas, but their engineers failed to make it a reality. The writing sucks because it’s not what they wanted to write, just what they thought they needed to. Look, why care what Twitter says if people are still going to buy millions of copies? Stop being so afraid, if that’s the issue. My suggestion would be to have real Black Americans write the story if you’re going for a Black New Yorker. The fake Black American thing is way more insulting than it is inclusive.",2,2,1.0
Sylsurfer,http://www.metacritic.com/user/Sylsurfer,"Feb 13, 2023",3,Negative,The Cringy Dialog also the hefty Pricetag is why i give this a Bad Score. What´s up with the Story beginning?  It feels so forced and ridicolous and we get also forced into this woke Agenda again.,2,2,1.0
TonyThePony,http://www.metacritic.com/user/TonyThePony,"Feb  3, 2023",0,Negative,This is a gold plated turd.  It's clear that this is big budget but developed by idiots who have no idea what a good game needs other than budget.  This is like PS2 era shovelware that looks good.,2,2,1.0
Catsup,http://www.metacritic.com/user/Catsup,"Feb  2, 2023",0,Negative,"this game is utter trash thats on fire, don't waste your money on this crap.",2,2,1.0
guihooded,http://www.metacritic.com/user/guihooded,"Jan 31, 2023",5,Mixed,definitivamente um dos jogos já feitos. não viverá pelo hype. square enix: melhorem.,2,2,1.0
Milena_Joe,http://www.metacritic.com/user/Milena_Joe,"Feb 22, 2023",0,Negative,"I hate the main character, I hate her, I hate her, I HATE HER!!!!!! I HATE HER!!!!!",2,2,1.0
dani3po,http://www.metacritic.com/user/dani3po,"Mar 15, 2023",3,Negative,"The game looks like an early PS4 game, the world is almost empty and there's not much to do. The Story feels incomplete and rushed.",1,1,1.0
demonSQL,http://www.metacritic.com/user/demonSQL,"Feb 23, 2023",1,Negative,"El dinero peor invertido en la vida para cuando de videojuegos se trata. El juego comienza bien, con una escena realmente dramática. ESA ESENA es lo único interesante que ocurre.La jugabilidad es similar a los Infamous, pero menos interesante, ya que los combates no se desarrollan para nada bien. Son blandos, aburridos y repetitivos.La dificultad es inexistente, y subirla solo logra que los enemigos sean esponjas de daño.El personaje se torna insufrible, y la trama un cliché de películas de serie B.El mundo es vasto pero vacío.Entiendo lo que se busca lograr con este tipo de videojuegos, pero si quieren que la gente lo compre y encima pague 70 USD, entonces mínimamente traten de crear un producto decente.",1,1,1.0
RowanBlack,http://www.metacritic.com/user/RowanBlack,"Feb 13, 2023",5,Mixed,A game of mixed parts (some things good and others bad or awful) make this a difficult game to review.  story is okay but the protagonist is difficult to like.  Voice acting is good but the script has some weak spots. Graphics for the models are nice but the environment is bland.  Combat is good but it takes way too long to unlock all the parts.  Movement is fluid for somethings and not others.,1,1,1.0
Soulassassin,http://www.metacritic.com/user/Soulassassin,"Feb 15, 2023",2,Negative,"To the point....The game is CRINGE! Do not, I repeat DO NOT BUY THIS GAME! The game is HORRIBLE, the story is TERRIBLE, the character is UNLIKABLE and had points where you actually root for the main character to LOSE as she is an ASS to EVERYONE she meets. The gameplay is PASSABLE and only BARELY fun. The world is nothing more than an empty copy paste of the EXACT same areas over and over and over again. All the cool powers are locked until right before the VERY end of the game. They force you to either so walk or stand still while talking to the unimaginatively named ""cuff"". I mean who thought THAT was a good idea, that's about as sorry and lazy as naming a dog, DOG. The game is NOWHERE NEAR worth $70 and should have been a FREE game pass or PS plus game instead. Square must have had their D tier team working in this game, because someone with NO game development experience could have written a better game than this. It's just PATHETIC! The ONLY way I would ever recommend playing this game, is to PIRATE IT.",1,1,1.0
DmitryV,http://www.metacritic.com/user/DmitryV,"Feb  3, 2023",0,Negative,720p wtf? its very very bad game не покупайте эту парашу с сильными женщинами,1,1,1.0
Furutre,http://www.metacritic.com/user/Furutre,"Feb  9, 2023",4,Negative,"I really wanted to like this game, but after my first playthrough im confused. There are so many weird glitches and bugs, weird animations, the world feels empty and the story is kinda confusing. If they only used a year more on this game this would have been great. The combat is amazing and one of the best parts in the game, feels fresh, quick and fun. But that does not matter when everything else feels empty and boring. If only they had time to do this project better this would have been amazing.",1,1,1.0
Japan_ab,http://www.metacritic.com/user/Japan_ab,"Feb  5, 2023",2,Negative,"La historia es inverosimil, pasas de New York a un mundo totalmente vacio. Los graficos son de generación pasada. Lo unico destacable del juego son las magias, pero estan mal implementadas. Las conversaciones con los NPC son de chiste, si quieres pasarlas rapido creas cortes en el juego, algo que sucedia hace 20 años pero que hoy en dia no pasa ni en un indie. O Square mejora en la creacion de nuevas IP o se va a la ruina en menos de 10 años, solo acierta en la remasterizacion de IP antiguas.",1,1,1.0
gaysexhaver69,http://www.metacritic.com/user/gaysexhaver69,"Feb 18, 2023",0,Negative,"holy **** where do i even start. the gameplay is so braindead a toddler could do it, the main character is designed to get on your nerves with her constant quips, the story feels like a fanfic written by a 14 year old with how often it just doesn't make sense, the game is so focused on looking pretty (which it fails at most of the time!) that you'll usually encounter frame dropsi would need to be paid much more than $70 to consider playing this game. it was so bad i logged back in to my 3 year old metacritic account that i forgot about",1,1,1.0
gonzalo94,http://www.metacritic.com/user/gonzalo94,"Feb  4, 2023",1,Negative,"It's a boring game and nothing appealing, it's better to spend your money on elden ring or other game.",1,1,1.0
berhat,http://www.metacritic.com/user/berhat,"Feb 10, 2023",1,Negative,"primer batacazo del 2023, juego malisimo en todos los aspectos. Cuando crees que lo unico que le puede salvar es el combate... llegas a ver que ni eso",1,1,1.0
Bubulao7,http://www.metacritic.com/user/Bubulao7,"Feb  3, 2023",1,Negative,Cobrar 350 reais nesse jogo gerérico é uma grande piada simplesmente ridículo,1,1,1.0
DmitryKochurov,http://www.metacritic.com/user/DmitryKochurov,"Feb  4, 2023",4,Negative,"Ужасные непрогружающиеся текстуры, ужасный сюжет, глупые шутки, незатыкающиеся главная героиня и браслет, мат на мате от главной героини будто она слесарь 5-го разряда, предсказуемость сюжета на столько высока и линейна, что не вызывает никакого интереса. За всю игру по факту 4 квеста, ради которых вы 3 раза через весь мир с точки А в точку Б пробежите и все. У меня челюсть отпала, когда я понял, что это весь геймплей. За то в игре расовое разнообразие и сильные и независимые женщины. Молодцы, так держать. Уничтожили мир Атии с таким большим потенциалом. Непонятно чем разработчики занимались. Единственный + это визуально красивая магия. Боёвка и то недоработана. Наиграл 55 часов. Последняя локация вообще непонятно зачем была создана так как в эндгейме даже нет смысла ее зачищать, и последняя магия танты тоже непонятно зачем была создана т.к. игра заканчивается и ты либо тупо забиваешь на конец сюжета и просто в тупую бежишь пробовать магию, либо заканчиваешь это мучение. Это ужас просто. Я надеюсь кто-то это прочитает из разработчиков. Я был реальным фанатом и начинал играть даже без обзоров и на мое мнение никто не повлиял. Вы уничтожили мир Атии пустым миром, ужасными персонажами и ужасным сценарием.",1,1,1.0
Pourya-abz,http://www.metacritic.com/user/Pourya-abz,"Feb  3, 2023",3,Negative,"I say to myself, is it possible for a game to be so nerve-wracking and useless in 2022? Can an open world game be made as if it was produced 20 years ago? Yes, a studio that has been trying to screw up its former glory for a few years now.",1,1,1.0
GamerExe,http://www.metacritic.com/user/GamerExe,"Feb 12, 2023",3,Negative,"It seems that Square Enix doesn't know how to make a good video game anymore.This is so ridiculous that it seems to be the work of EA games.",1,1,1.0
