source,link,date,grade,scoreType,text
Vgames,https://www.vgames.co.il/article/29546.html,"Jan 30, 2023",95,Positive,"
                                Xbox, Bethesda and most importantly, Tango Gameworks, came out swinging, with an absolutely fantastic game, that manages to blend between the Character Action and Rhythm game genres without missing a beat (pun definitely intended). This is a strong contender for GOTY, and we're just getting started with 2023.
                            "
Ragequit.gr,https://ragequit.gr/en/reviews/item/hi-fi-rush-pc-review/,"Mar 20, 2023",92,Positive,"
                                Hi-Fi RUSH offers 12-14 hours of satisfying hours of music, action and plenty of laughs. Rhythm, beat, robots. What more can we ask for?
                            "
INVEN,https://www.inven.co.kr/webzine/news/?news=281346,"Feb  7, 2023",92,Positive,"
                                The game is an excellent example that combines action, rhythm and drama into a single experience. Accessibility features let you play it without any burden, even you are not familiar with rhythm games. Also, the cheerful soundtrack throughout the entire game will make you smile all the time.
                            "
Hooked Gamers,https://www.hookedgamers.com/pc/hi-fi_rush/review/article-2407.html,"Mar  6, 2023",90,Positive,"
                                Despite being a black sheep of Tango Gamework's library, Hi-Fi Rush is quickly setting itself up to be a standout in popularity as well as genre, having already become a massive hit despite being a complete unknown mere hours before it released. With any luck, the budding success of Hi-Fi Rush encourages more game developers to stretch their wings and experiment. Sometimes stepping out of your comfort zone can really pay off, and in this reviewer's opinion, Hi-Fi Rush epitomizes that.
                            "
Games.cz,https://games.tiscali.cz/recenze/hi-fi-rush-recenze-famozni-rytmicke-rubacky-550285,"Feb  6, 2023",90,Positive,"
                                A brilliant rhythmic game with lovable characters, a warm humor and a great soundtrack which works in conjunction with the fighting. Every hit is underscored by a guitar note and there are always more challenges, enemies, and ways to deal with them.
                            "
Gamer.nl,https://gamer.nl/artikelen/review/hi-fi-rush-is-pure-liefde/,"Feb  3, 2023",90,Positive,"
                                Hi-Fi Rush is a very slick looking action platformer that executes its central theme of rhythm incredibly consequently. The animations are of a phenomenal level. Hi-Fi Rush is really just the type of game that will make you shout from the rooftops how cool video games can be.
                            "
PC Invasion,https://www.pcinvasion.com/hi-fi-rush-review/,"Feb  3, 2023",90,Positive,"
                                Hi-Fi Rush swings for the fences and hits a home run with its incredible rhythm-based gameplay and combat mechanics that are more complex than you might initially assume.
                            "
IGN,https://www.ign.com/articles/hi-fi-rush-review,"Feb  2, 2023",90,Positive,"
                                I swear Hi-Fi Rush could be a premier cartoon series. It’s got best-in-class animation, endearing heroes to cheer for, and villains you love to hate, all wrapped in good-natured humor. But on top of that everlasting charm, it turns a dynamic rock soundtrack into its greatest weapon, putting meticulous detail into syncing the beat to all aspects of the experience. It gives combat a uniquely satisfying momentum that other stylish-action games don’t offer, even when the platforming and targeting system drop a couple notes along the way. Hi-Fi Rush is a memorable journey that marches to the beat of its own drum and without a doubt stands among the action greats.
                            "
GameGrin,https://www.gamegrin.com/reviews/hi-fi-rush-review/,"Feb  2, 2023",90,Positive,"
                                Not only is Hi-Fi RUSH an incredible looking title, it absolutely nails the rhythm action genre with superbly stylish gameplay, and a soundtrack you can’t help but groove to.
                            "
Gamersky,https://www.gamersky.com/review/202301/1561824.shtml,"Feb  1, 2023",90,Positive,"
                                Hi-Fi RUSH combines rhythm games and action games in a fantastic way, and the overall experience is beyond imagination.
                            "
Noisy Pixel,https://noisypixel.net/hi-fi-rush-review/,"Jan 30, 2023",90,Positive,"
                                Hi-Fi Rush is, by every possible measure, one of the biggest surprises of 2023 and will probably stand as my Game of the Year for at least the next few months. I have never seen a game tt so successfully blends rhythm and action, and despite its platforming not being much to write home about, the combat is so superb that it may even surpass all of its most apparent influences.
                            "
Wccftech,https://wccftech.com/review/hi-fi-rush-stealing-the-show-with-style-sss/,"Jan 29, 2023",90,Positive,"
                                Hi-Fi Rush is a fantastic game that combines two very popular genres and makes a wonderful and innovative game with a low skill floor but a high skill ceiling. The game is both accessible to newcomers to rhythm games and very challenging for veterans looking to be tested in several other areas that don't necessarily have to do with just rhythm games. The combat is varied, the combos you learn are great to execute, and the music is a joy to listen to. Overall, a great success.
                            "
TierraGamer,https://tierragamer.com/resenas/videojuegos/resena-hi-fi-rush-unico-entretenido-y-original/,"Feb 21, 2023",89,Positive,"
                                Hi-Fi Rush is a clear example that a video game should always aim to be fun and empathetic to a player's need, which is wanting to play something straightforward without silly barriers and unuseful explanations. The musical elements, the animation, the character design, everything delivers an attractive product worth enjoying. We need more titles like these that are published by surprise.
                            "
Game Informer,https://www.gameinformer.com/review/hi-fi-rush/riff-city,"Feb  1, 2023",88,Positive,"
                                Hi-Fi Rush finds a magical sweet spot between rhythm games, stylish action, and lighthearted, character-driven platformers we don't see very often anymore, and by every measure, it comes out on top. 
                            "
GameStar,"https://www.gamestar.de/artikel/hi-fi-rush-test-steam-review,3389292.html","Jan 30, 2023",87,Positive,"
                                Rocking beat'em up with excellent flow, likeable characters and fantastic humour. A good time is guaranteed.
                            "
Impulsegamer,https://www.impulsegamer.com/hi-fi-rush-review/,"Feb 21, 2023",86,Positive,"
                                Although some levels are too long and the hidden secret ending that is actually the only reason for going through New Game+ is even more disappointing than the original ending, that cannot stop even the most hard-to-please gamers from loving Tango Gameworks’ latest marvel.
                            "
4Players.de,https://www.4players.de/4players.php/dispbericht/PC-CDROM/Test/44129/85249/0/Hi-Fi_RUSH.html,"Jan 31, 2023",85,Positive,"
                                Entertaining, innovative, stylish and full of character. Action music game mix Hi-Fi Rush is the kind of game the word ""smash hit"" was coined for.
                            "
The Games Machine,https://www.thegamesmachine.it/hi-fi-rush-pc-xbox-series-x-s/hi-fi-rush-pc-xbox-series-x-s-recensione/,"Jan 31, 2023",85,Positive,"
                                Hi-Fi Rush is what happens when Tango Gameworks unlocks its ancestor DNA, finding ways beyond the Resident Evil-ish production and remembering about Viewtiful Joe and that early-2000 mood in video games. It's what happens when Devil May Cry finds about the iPod and the 1 dollar the track music, crafting a little game but with a great rockstar attitude.
                            "
Jeuxvideo.com,https://www.jeuxvideo.com/test/1702173/hi-fi-rush-ne-ratez-surtout-pas-l-enorme-surprise-du-game-pass-de-ce-debut-d-annee.htm,"Jan 30, 2023",85,Positive,"
                                What a slap! With this luminous shadow drop sold at a low price and integrated into the Game Pass, Bethesda sends the conventions of the video game industry waltzing away. From the waltz to Tango Gameworks, there is only one step that we invite you to take without delay. After fear, the studio brilliantly relies on ardor. Hi-Fi RUSH plays a score of all the devils where rhythm, platform and fight form an euphoric melody and without major false note. By playing on the measures but having fun in excess, this rush is our crush from the beginning of the year.
                            "
Gamers Heroes,https://www.gamersheroes.com/honest-game-reviews/hi-fi-rush-review/,"Jan 29, 2023",85,Positive,"
                                Hi-Fi Rush is a stone-cold stunner, one with gameplay in lockstep with the beat. While finding one’s groove takes some getting used to, those with a keen ear will be in tune in no time flat.
                            "
Oyungezer,//oyungezer.com.tr/inceleme/hi-fi-rush-inceleme,"Feb 14, 2023",80,Positive,"
                                If you like both rhythm and action games, you'll deeply love Hi-Fi Rush. If the content had been a bit fuller and the focus had been on the action where the game really shines, it would be a strong contestant for game of the year awards.
                            "
Gamer.no,https://www.gamer.no/artikler/tar-cel-shading-til-et-helt-nytt-niva/515900,"Feb  7, 2023",80,Positive,"
                                Quotation forthcoming.
                            "
PCMag,https://www.pcmag.com/reviews/hi-fi-rush,"Jan 31, 2023",80,Positive,"
                                Hi–Fi Rush drums new life into the action genre with fun cartoon-like visuals, excellent music, rhythm-focused gameplay twists, and addictive melee combat.
                            "
Gamereactor Denmark,https://www.gamereactor.dk/hifi-rush-1145203/,"Jan 30, 2023",80,Positive,"
                                Hi-Fi Rush is a well-crafted and, at its core, simple action-adventure, and as the game's style, humour and bubbly personality rub off, it's not hard to like this game.
                            "
PC Gamer,https://www.pcgamer.com/hi-fi-rush-review/,"Feb  2, 2023",69,Mixed,"
                                Despite it's killer opening act, Hi-Fi Rush fails to sustain its blend of rhythm and action all the way until the end.
                            "
