source,link,date,grade,scoreType,text
Everyeye.it,https://www.everyeye.it/articoli/recensione-forspoken-magia-open-world-parkour-formula-vincente-60186.html,"Jan 23, 2023",80,Positive,"
                                There was a moment in which we really feared for the success of Fospoken, which, due to a not exactly crystal clear communication from the publisher, often ended up making us feel mixed sensations. Confirming the impressions gained on the occasion of previous direct contacts with the product, however, the new creature of Luminous Productions convinces in every respect, without excelling in any field. While the staid pace of the isekai matrix plot is counterbalanced by surprising twists and turns that leave a love flavor, the albeit chaotic combat system and the exorbitant number of optional activities offered by an open world that is anything but empty compensate for a surrender visual not quite state of the art.
                            "
Easy Allies,https://easyallies.com/#!/review/forspoken,"Jan 23, 2023",80,Positive,"
                                After all is said and done, Forspoken emerges as a solid new IP. It has its fair share of issues, but the longer you spend time in Athia, the more its world draws you in with its intriguing combat and the simple pleasure of freely crossing massive environments with spellbinding abilities. Luminous Productions is definitely onto something with this concept, it just needs a bit more focus and refinement. At the very least, Forspoken proves its worth on its own terms, and demonstrates the potential to someday hang alongside Square Enix’s staple franchises.
                            "
App Trigger,https://apptrigger.com/2023/01/23/forspoken-review/,"Jan 23, 2023",80,Positive,"
                                Forspoken presents a genuinely human story blended well with combat and a variety of exploration options, setting it up to be PlayStation’s next big franchise.

                            "
Launcher (The Washington Post),https://www.washingtonpost.com/video-games/reviews/forspoken-review,"Jan 23, 2023",80,Positive,"
                                Forspoken doesn’t do anything new for the open-world genre of games, but it does offer just enough to distinguish itself, mostly thanks to Frey and her magic spells, and a story that’s able to stick the landing. Or to translate this to Whedonspeak, “Yep, she really did just do that!""
                            "
PSX Brasil,https://psxbrasil.com.br/analise/forspoken-review/,"Jan 23, 2023",80,Positive,"
                                Forspoken is a unique game, with a very distinct gameplay, setting and story that compose a very fun and interesting experience. It suffers with its short duration, problemactic camera, lack of variety in side missions and it needs a few adjustments to its gameplay, but its one of the most beautiful games on the PS5 so far and a title that deserves everyone's attention.
                            "
TierraGamer,https://tierragamer.com/resenas/videojuegos/resena-forspoken-una-divertida-aventura-magica-con-una-historia-que-queda-a-deber/,"Jan 23, 2023",80,Positive,"
                                You can spend hours completing spell challenges, exploring dungeons, fighting enemies, and activating altars to upgrade your powers. But that fun is often held back by the story. Forspoken's pacing could be better. The game takes you away from what you want to do. We often wanted to explore to our heart's content, but the game forced us to spend minutes that felt like forever in uninteresting storytelling.
                            "
We Got This Covered,https://wegotthiscovered.com/gaming/review-forspoken-is-perfect-for-those-craving-an-easier-elden-ring/,"Jan 23, 2023",80,Positive,"
                                Want to explore a beautiful and desolate fantasy world without being stomped into the ground by every enemy you meet? The power fantasy of 'Forspoken' might just be the game for you.
                            "
Gamersky,https://www.gamersky.com/review/202301/1559748.shtml,"Jan 23, 2023",79,Positive,"
                                As a new title from Luminous Productions six years after FFXV, Forspoken continues to show the shortcomings of its open-world design. The abundance of magical combat and the still-excellent story make up for most of these shortcomings. However, the hopes for a fantastic magical world cannot be fulfilled. 
                            "
Gamers Heroes,https://www.gamersheroes.com/honest-game-reviews/forspoken-review/,"Jan 27, 2023",75,Positive,"
                                My time with Forspoken was a strange one. Elements of the game are fantastic, with an engrossing story and a gorgeous world. However, it all just feels segmented, like nothing really wants to work together. Forspoken is a good game and one I would recommend to most open-world fans, but it just feels so close to greatness that I can’t help but walk away disappointed.
                            "
Digital Chumps,https://digitalchumps.com/forspoken-review,"Jan 24, 2023",75,Positive,"
                                Forspoken is on the precipice of something great. Behind the funneled narrative beats and the obese, sprawling world is a game that simply wants players to engage with its every part. Past the eye-rolling dialog and self-serious narrative is a potentially interesting protagonist and universe that occasionally mesh well. Each puzzle piece of Forspoken is so close to fitting and so often I could see the picture clearly, especially when bounding across the seemingly boundless landscape, making the screen quiver and explode with Frey’s awe-inspiring magic. Perhaps in another place, in another time, Forspoken will speak to everyone.
                            "
Malditos Nerds,https://malditosnerds.com/analisis-forspoken-un-juego-que-cumple-pero-no-deslumbra/,"Jan 23, 2023",75,Positive,"
                                Forskpoken isn't a bad game, but it isn't outstanding either. If you get
interested in its universe, whether for its story or combat, it won't
leave you indifferent. However, the game doesn't dazzle, and it might
not meet the expectations of all players.
                            "
Game Informer,https://www.gameinformer.com/review/forspoken/average-isekai,"Jan 23, 2023",75,Positive,"
                                Forspoken's story and combat fail to reach the heights of its movement and exploration, but thankfully those two latter elements make up most of the experience. I sprinted, often literally, through the campaign in about 15 hours, and now I have a large world filled with nooks and crannies I'm eager to run through and explore. The narrative won’t linger with me, and I avoided combat in the open world often, but I loved making Frey leap and fly through Athia to discover all its treasure chests and secrets.
                            "
God is a Geek,https://www.godisageek.com/reviews/forspoken-review/,"Jan 23, 2023",75,Positive,"
                                There's something here to get stuck into for fans of open world adventures, and Forspoken isn't without its charms, but like Frey herself, it's often its own worst enemy.
                            "
IGN Italia,https://it.ign.com/project-athia/199894/review/forspoken-la-recensione,"Jan 23, 2023",75,Positive,"
                                Forspoken is neither black nor white, it's a mottled gray of spectacular combat and magical parkour to be experienced within a dated open world.
                            "
Press Start Australia,https://press-start.com.au/reviews/PS5-reviews/2023/01/24/forspoken-review,"Jan 23, 2023",75,Positive,"
                                Forspoken offers a unique and thrilling experience with its impressive combat and smooth traversal mechanics. The story and open world may fall victim to the pitfalls of its genre and the largely formulaic side quest design only shines occasionally, but it's an overall satisfying and well-crafted action RPG with fast-paced and energetic gameplay.
                            "
INVEN,https://www.inven.co.kr/webzine/news/?news=281005,"Jan 25, 2023",73,Mixed,"
                                While the cheerful combat with cool parkour moves were exceptionally fun, Forspoken has been lacking in so many ways for players who have endured its delay announcement for twice. All those cute cats fill Frey's room only serve to double the loneliness that is already been full in Athian world.
                            "
Meristation,https://as.com/meristation/2023/01/23/analisis/1674482407_266177.html,"Jan 23, 2023",73,Mixed,"
                                Nice fleshed combat and parkour, fun and very fast-paced fights. However, the open world and the activities within it are not as satisfying.
                            "
MeuPlayStation,https://meups.com.br/review/forspoken-vale-a-pena/,"Jan 23, 2023",73,Mixed,"
                                Forspoken is average. It has the highs and lows of an overall regular
gaming experience. The nods to Alice in Wonderland, the combat and Frey
Holland's story are pretty good, but the game fails to deliver next-gen
visuals and a better storytelling experience. There are so many fades to
black and cutscenes that you feel bored, especially during the first
hours of gameplay.
                            "
GAMES.CH,https://www.games.ch/forspoken/test/review-kjni/?preview,"Jan 24, 2023",72,Mixed,"
                                The parkour and combat systems are worth developing further. Unfortunately, the developers fail to embed this groundbreaking approach into a convincing overall concept. Great moments are repeatedly thwarted by a lack of polish, a dull game world and an incredibly sluggish story.
                            "
SECTOR.sk,https://www.sector.sk/recenzia/38562/forspoken.htm,"Feb 23, 2023",70,Mixed,"
                                Forspoken is ambitious action RPG with the promise of a new world and gameplay possibilities, but some of them felt flat. Unambiguous heroine is a challenge but her view of the world is satisfying and there is a lot to fight for. Magic parkour and combat is solid, but controls are occasionally frustrating. 
                            "
Siliconera,https://www.siliconera.com/review-forspoken-is-trapped-between-story-and-open-world/,"Feb  9, 2023",70,Mixed,"
                                While Forspoken is a much better time than chatter on social media might suggest, those who opt to take on Frey’s journey will likely encounter bumps and stumbles that are hard to ignore, as well as have to deal with some unpleasant traveling companions strapped to their arms. Folks who can put up with those shortcomings, though, will find a dramatic and very pretty adventure as a stranger running freely across a strange land.
                            "
Gamereactor Finland,https://www.gamereactor.fi/forspoken-ja-jaksottamisen-suunnaton-vaikeus-1016083/,"Feb  7, 2023",70,Mixed,"
                                With better pacing, slightly lighter tone and some self-restraint Forspoken would have been a much better game.
                            "
IGN Adria,https://adria.ign.com/forspoken/38937/review/forspoken-recenzija,"Feb  3, 2023",70,Mixed,"
                                Magical world with exciting and thrilling story that eventually delivers. But until it does deliver it feels forever. A must play for those who love action paced fluid combat and enjoy different vibrant colours but can overlook and tolerate few cheap scripts and few silly bugs.
                            "
Impulsegamer,https://www.impulsegamer.com/forspoken-ps5-review/,"Feb  1, 2023",70,Mixed,"
                                While Forspoken has its fair share of glaring issues, I have to admit that I still enjoyed my time with its warts and all, as it managed to entertain and engage me with its combat system alone.
                            "
PlayStation Universe,https://www.psu.com/reviews/forspoken-ps5-review/,"Jan 31, 2023",70,Mixed,"
                                Forspoken lacks the kind of refinement expected of a AAA title. If the concepts had received more attention, then the entire package would have been more cohesive. Still, despite its issues, there's definitely something here to enjoy if you can focus in on what the game does well: narrative, accessibility, and writing.
                            "
Finger Guns,https://fingerguns.net/reviews/2023/01/30/forspoken-review-ps5-skip-to-the-good-bit/,"Jan 30, 2023",70,Mixed,"
                                Forspoken is a fun action RPG when it gets out of its own way. Its linear narrative and heavy-handed first few hours sap the player’s goodwill, before letting you free and realising its true potential. Strong combat and traversal mechanics really shine, and by the end, even the story manages to rise, like Frey herself, to the challenge.
                            "
Gamereactor UK,https://www.gamereactor.eu/forspoken-1234483/,"Jan 30, 2023",70,Mixed,"
                                Forspoken is fun to play most of the time, but it's a damn shame that the game's remaining elements eagerly attempt to ruin that enjoyment at every turn.
                            "
Hey Poor Player,https://www.heypoorplayer.com/2023/01/29/forspoken-review-ps5/,"Jan 28, 2023",70,Mixed,"
                                As Luminous Productions’ first project after being formed from the developers of Final Fantasy XV, Forspoken is a remarkable yet flawed experience. There’s so much potential here, with an outstanding magic parkour system and a beautiful open world. However, it’s clear that the ambition was a little too high for this studio, as there are just too many incomplete (but great) ideas at work here that just don’t come to fruition.
                            "
The Games Machine,https://www.thegamesmachine.it/forspoken-pc-ps5/forspoken-recensione/ ,"Jan 27, 2023",70,Mixed,"
                                Forspoken is a game that has great potential, expressed in a precise, fast and fun combat system. Sadly, everything else in the game lacks novelty or interest in exploration.
                            "
IGN Spain,https://es.ign.com/forspoken/187434/review/analisis-de-forspoken-freya-a-traves-del-espejo,"Jan 25, 2023",70,Mixed,"
                                An adventure in which the need to conquer the lady and the altruistic obsession to save the world give way to more human interests, more visceral and easier to connect with.
                            "
4Players.de,https://www.4players.de/4players.php/dispbericht/Allgemein/Test/41992/85243/0/Forspoken.html,"Jan 23, 2023",70,Mixed,"
                                The technology, which is impressive in places, stumbles over questionable design decisions, an uninspired game world and a combat system that is only visually exciting.
                            "
Vandal,https://vandal.elespanol.com/analisis/ps5/forspoken/86457#p-89,"Jan 23, 2023",70,Mixed,"
                                Forspoken has a good foundation, with great combat design and parkour, but the contents of this world are not as good and, consequently, struggle to keep the player engaged.
                            "
Screen Rant,https://screenrant.com/forspoken-game-review/,"Jan 23, 2023",70,Mixed,"
                                Luminous Productions clearly had a vision for Forspoken, and it shines through brilliantly when the player is unshackled and left to their own devices in the gorgeous game world, buoyed by Forspoken's atmospheric music. Unfortunately, the narrative's pacing has left it feeling as though it was significantly scaled back during development. Forspoken is sprawling, awing in its scale, and a treat to look at, and while the gameplay is snappy and engaging, it's not necessarily impressive enough to completely distract from haphazard discussions with NPCs and a narrative that should have been given more space.
                            "
TheGamer,https://www.thegamer.com/forspoken-review/,"Jan 23, 2023",70,Mixed,"
                                Despite its flaws, I enjoyed my time with Forspoken. While the narrative is janky at times, the premise is compelling and the world of Athia is exceedingly well-built. The movement is where the game shines, making exploration a joy instead of a chore. The postgame is also surprisingly competent when it comes to dealing with the implications of the main story’s twists and turns, a rarity for open-world games. I didn’t know what to expect when I started playing Forspoken but I came out feeling satisfied.
                            "
Destructoid,https://www.destructoid.com/reviews/forspoken-review-destructoid-ps5-pc-square-enix-ella-balinska/,"Jan 23, 2023",70,Mixed,"
                                Given the opportunity to dare, Forspoken chooses to play it incredibly safe, with muddled pacing and strict adherence to both narrative and gameplay tropes holding it back from reaching its groundbreaking potential. Regardless, its dazzling visuals, charismatic leads, memorable boss battles, and energetic and varied combat will reward the more patient player with a solid, spellbinding adventure… And, for everybody else, there are magical cats.
                            "
Multiplayer.it,https://multiplayer.it/recensioni/forspoken-recensione.html,"Jan 23, 2023",70,Mixed,"
                                Truly a waste of potential. Forspoken gets saved by its spectacular combat and traversal mechanics, but the value of those systems gets skewered by a disappointing story and a trite open world structure. It's still a fun experience if you love experimenting with combat and magic, but we sincerely hope to see those systems recycled for something less rushed in the future.
                            "
PlaySense,https://playsense.nl/527793/review-forspoken/,"Jan 23, 2023",70,Mixed,"
                                A competently made game, which unfortunately colors a little too much within the lines of the genre.
                            "
GamingBolt,https://gamingbolt.com/forspoken-review-lacking-in-confidence,"Jan 23, 2023",70,Mixed,"
                                Rather than letting its awful story simply be a good excuse for its excellent gameplay, Forspoken insists on constantly interrupting your fun to throw some truly bad exposition your way. Forspoken's character building and lore are a disaster but it manages to make it up with its incredible combat and traversal mechanics.
                            "
But Why Tho?,https://butwhytho.net/2023/01/forspoken-ps5-review/,"Jan 23, 2023",70,Mixed,"
                                Forspoken isn't without its hiccups—hit-or-miss side quests...and repetitive activities. Nevertheless, I enjoyed my time with Forspoken's focal storyline. The graphics, voice acting, and musical score are phenomenal, and the cat content is a lovely addition.
                            "
COGconnected,https://cogconnected.com/review/forspoken-review/,"Jan 23, 2023",70,Mixed,"
                                Forspoken feels like a test that was turned in with answers missing, returned with a big red ""Finish Your Work"" inked at the top. So much of the game feels like unrealized potential, a big, messy first draft. There are too many mechanics, there's too much story, too much empty world, and too little chance for surprise or discovery. However, I can't say I didn't enjoy a lot of my time with Forspoken. When the combat clicks, it can be a lot of fun. Forspoken is ambitious, and there are hints of a winning formula. I hope the developers keep chipping away at what doesn't work. It would be a shame if Forspoken is forsaken.
                            "
Digital Trends,https://www.digitaltrends.com/gaming/forspoken-review-ps5-pc,"Jan 23, 2023",70,Mixed,"
                                I would recommend Forspoken to action and RPG fans, but I wish I could give them one of my save files with total open-world freedom and most of the traversal and combat spells unlocked from the jump. The adventure is at its weakest when it's forcing players to wade through lots of poor narrative content that takes too long to pay off. Its best beats aren’t paced or delivered well and serve as a weighty vambrace holding back this game’s true magic: a dazzling open-world game that truly does feel next-gen.
                            "
Inverse,https://www.inverse.com/gaming/forspoken-review-ps5,"Jan 23, 2023",70,Mixed,"
                                Forspoken is vibrant, experimental, and undercooked all at once. It feels like a throwback to the Xbox 360-era of Square Enix games that were weird and experimental, like The Last Remnant and Infinite Undiscovery, only with a much bigger budget and flashier visuals. Its traversal and combat mechanics shine, but they’re trapped underneath a story and setting that feels painfully average and completely unwilling to engage with more challenging themes.
                            "
Variety,https://wp.me/pc8uak-1lC0oZ,"Jan 23, 2023",70,Mixed,"
                                Despite its flaws, Forspoken is a fun adventure that nails the minute-to-minute gameplay with Frey’s parkour abilities and magic spells.
                            "
Wccftech,https://wccftech.com/review/forspoken-stylish-action-and-movement-dont-entirely-salvage-this-games-potential/,"Jan 23, 2023",70,Mixed,"
                                Forspoken is a fun action game that shines best when you're taking advantage of the great magic parkour to soar through the fantasy world of Athia and blast enemies with overwhelmingly cool spells. However, its content is underwhelming, its RPG systems are weak, and its visuals are less advanced than advertised. As such, Forspoken's potential is largely unrealized in its current state. It's still a decent romp for genre fans to go through, though waiting until it gets a discount or is added to one of the many subscription services is recommended.
                            "
Worth Playing,https://worthplaying.com/article/2023/1/23/reviews/135499-ps5-review-forspoken/,"Jan 23, 2023",69,Mixed,"
                                It might not seem like it right now, but Forspoken had some very good ideas, and I ended up still having some fun with it. It feels like it needed a little more time to figure out its real identity instead of its disjointed little-of-this, little-of-that experience. I think it's true form, which it hinted at, is as a young-adult, Bayonetta-adjacent ass-kicker, that needs to pick a tone and lean into it. If that's what it had been, we'd be onto something.
                            "
Player 2,https://www.player2.net.au/2023/02/forspoken-lord-of-the-vambrace/,"Mar  5, 2023",67,Mixed,"
                                Forspoken may be a game of squandered potential, but there remains an argument that it’s still worth playing, not just for the simple joy of zipping through its world, but for the occasional glimpse at the potentially genre-defying tentpole it could have been with clearer vision and better collaboration. Because, in this world of stagnation over innovation, even just the groundwork can be worth savouring.
                            "
Checkpoint Gaming,https://checkpointgaming.net/reviews/2023/02/forspoken-review-off-the-cuff/,"Feb  8, 2023",65,Mixed,"
                                It’s a shame that the early pacing issues with Forspoken and the slow-burn drip-feeding of abilities will likely put off a lot of players and prevent them from seeing how fun the game can actually be when it’s firing on all cylinders. Bland and boring environments with some awkward visual choices and lifeless character models give an unfortunate first impression that is saved by its enjoyable parkour and versatile combat during the later stages of the game, along with a surprisingly heartfelt story. Forspoken might not be the savior we were all hoping for, but it’s a decent adventure with enough soul that it shouldn’t be cast aside entirely.
                            "
ZTGD,https://ztgd.com/reviews/forspoken-ps5/,"Feb  7, 2023",65,Mixed,"
                                Forspoken is a solid action RPG that sadly falls short due to some of its design. The world is just not that interesting to explore and the weird dialogue can detract from an otherwise interesting narrative. I enjoyed my time with the game and if you do dive in, I recommend simply mainlining the core story as it keeps the repetition to a minimum. If you are a sucker for tons of mindless side content though this game has it in spades. I truly wish it was just more interesting though.
                            "
Vgames,https://www.vgames.co.il/article/29554.html,"Feb  2, 2023",65,Mixed,"
                                I don't know what happened during the development of Forspoken, but this can't be what they were aiming for. The traversal, story and graphical elements of the game all suffer from the same issue: untapped potential.
                            "
DualShockers,https://www.dualshockers.com/forspoken-review/,"Feb  2, 2023",65,Mixed,"
                                Forspoken is packed with flaws — be they outright missteps or simply middling executions — but there are definitely qualities to this game that can deliver an entertaining and sometimes thrilling experience. I did ultimately enjoy my time with it, all told and considered. There’s interesting lore here, and at times the story approaches compelling, but it was held back so much by odd design choices, an often bland world, and uneven pacing in both the story and moment-to-moment dialogue. On paper, it could and should be great, but nothing quite fits together to make a stronger whole. It’s crammed with so much, and beyond the combat and traversal, the whole experience just winds up feeling like something of a relatively enjoyable mess.
                            "
Softpedia,https://www.softpedia.com/reviews/games/playstation-5/forspoken-review-536909.shtml,"Jan 30, 2023",65,Mixed,"
                                If Forspoken had been a tech demo, it would have been amazing. As a game it is just a collection of inexplicable decisions that ruin the entire experience. The game - just as its hero - does not have a clearly defined identity, the pace is slow while the world is huge, the controls are clumsy at best, the animations are stiff, and the AI is limited to a few patterns. The around 30 hours required to complete the main story feel painfully long, and it is hard to justify investing twice as much time to uncover everything. You can see the hard work put in some aspects of the game, which makes it even harder to explain the neglect of the rest. Forspoken is nothing more than a foot note in an essay about wasted potential.
                            "
WellPlayed,https://www.well-played.com.au/forspoken-review/,"Jan 30, 2023",65,Mixed,"
                                Despite some moments of genuine enjoyment, with a combat system that does its best to entertain, Forspoken never makes the most of its potential. Ultimately, there are bigger, bolder and more inventive action games both already out there and soon to be upon us in an already stacked 2023 release schedule.
                            "
LevelUp,https://www.levelup.com/PlayStation-5/juegos/577589/Forspoken/review,"Jan 23, 2023",65,Mixed,"
                                To say that Forspoken is a disappointment may seem harsh, but it's also not something that's far from the truth. It's not that Luminous Productions made a bad game, they just put out one that isn't particularly good either. It will be a run-of-the-mill release that will earn some fans for its strengths, but will fail to transcend.
                            "
GamePro Germany,"https://www.gamepro.de/artikel/forspoken-im-test,3389069.html","Jan 23, 2023",65,Mixed,"
                                Forspoken inspires with its parkour and combat system, but is otherwise only moderately convincing and gives away a lot of potential.
                            "
Gamer.nl,https://gamer.nl/artikelen/review/forspoken-struikelt-over-eigen-ambities/,"Jan 23, 2023",65,Mixed,"
                                Forspoken would like to share the personal story of a woman who was abandoned as a baby and how it shaped her as an adult. Unfortunately, that only half works. The other half tells a worn-out fantasy story in a (cliché) moderate way. Although there is more than enough to do and experience in Forspoken, the actual fun is sometimes hard to find.
                            "
MMORPG.com,https://www.mmorpg.com/reviews/forspoken-playstation-5-review-2000127138,"Jan 23, 2023",65,Mixed,"
                                In the end, Forspoken is okay, with its world, parkour, and combat as its high points. And while I didn’t thoroughly enjoy the story, I want to see Ella Balinksa as Frey again in a sequel as her performance (and, frankly, the majority of the cast) was a definite highlight, despite the poor writing she was given. Unfortunately, the performance issues really have made Forspoken hard to recommend at its full price, as it negatively impacts so much of the moment-to-moment gameplay. Hopefully with a few patches Square and Luminous can improve it over time. But until then, traveling down the rabbit hole into Athia might be best done on a sale.  
                            "
TrueGaming,https://www.true-gaming.net/home/?p=530045,"Jan 23, 2023",65,Mixed,"
                                The focus went to combat which is fun and refreshing but enemies aren't varied enough for it to carry the whole game. There are many weak points in Forspoken... be it the mediocre side-content, or the repetition, or how unimpressive the game looks, etc. Storytelling disappoints too. Sure the game is ambitious, but the end result is far from being satisfying. Still, combat-focused lovers may find something to like here.
                            "
GamersRD,https://gamersrd.com/forspoken-review/,"Jan 23, 2023",65,Mixed,"
                                Forspoken is undoubtedly a game that fails to attract interest. It has simple textures and unpolished graphics. The color palette in the environment is very limited and gives us the impression that everything is very dark. The plot is straightforward and highly predictable; perhaps it is the typical storyline that we have played countless times in different games. The gameplay is indeed the most valuable aspect of this game because it keeps us interested and helps to make the experience more enjoyable.
                            "
Power Unlimited,https://pu.nl/artikelen/review/forspoken-review-een-magische-en-tegelijk-teleurstellende-ervaring/,"Jan 23, 2023",64,Mixed,"
                                Forspoken has a great combat system, a cool way to move through the game world, minuscule loading times and is presented in an acceptable way. Unfortunately, the weak dialogues, the much too short story and the soulless open game world full of repetitive activities mean that the mediocre level is only surpassed at a few moments.
                            "
GameMAG,https://gamemag.ru/reviews/forspoken-ps5-review,"Mar 13, 2023",60,Mixed,"
                                World exploration in Forspoken can bring you some real joy, and same could be said about the combat system.  And yet the writing, weird visual presentation, and overall direction can really bring the whole experience down.
                            "
Edge Magazine,,"Feb 24, 2023",60,Mixed,"
                                Away from its story missions, Forspoken feels short of ideas, and even the narrative runs out of steam. [Issue#382, p.102]
                            "
Gfinity,https://www.gfinityesports.com/reviews/forspoken-review-shoot-for-the-isekai/,"Feb 20, 2023",60,Mixed,"
                                Forspoken is both ambitious, yet incredibly flawed. It pairs hammy dialogue and some poor pacing with a world I want to explore. Forspoken is a game tied between two worlds - losing out by never quite understanding either.
                            "
