source,link,date,grade,scoreType,text
TheSixthAxis,https://www.thesixthaxis.com/2023/02/05/hi-fi-rush-review/,"Feb  5, 2023",90,Positive,"
                                Hi-Fi Rush is an utterly beguiling new take on rhythm-action, combining some of this generation’s most impressive visuals with music and mayhem. 
                            "
GameSkinny,https://www.gameskinny.com/w6vy7/hi-fi-rush-review-and-the-beat-goes-on,"Feb  4, 2023",90,Positive,"
                                I can't imagine any of Hi-Fi RUSH getting old. It's so vibrant, so full of life, and so unique. It stands out in a world where many AAA releases seem determined to be anything but. Add in the replay value of chasing high scores and Rhythm Tower, which functions a lot like Devil May Cry's Bloody Palace mode, and this is a game that you can play for a long time.
                            "
Windows Central,https://www.windowscentral.com/gaming/hi-fi-rush-review,"Feb  3, 2023",90,Positive,"
                                From beginning to end, Hi-Fi RUSH is a rhythmic thrill ride replete with stunning art design, fantastically fun gameplay, and a surprisingly evocative narrative of friendship and determination.
                            "
Atomix,https://atomix.vg/review-hi-fi-rush/,"Feb  2, 2023",90,Positive,"
                                Tango Gameworks has done it once again. Hi-Fi Rush a fantastic experience that combines hack and slash with rhythm games spectacularly.
                            "
GamersRD,https://gamersrd.com/hi-fi-rush-review/,"Feb  1, 2023",90,Positive,"
                                Hi-Fi Rush will make us feel that we are enjoying an interactive animated show. It is a game with high production standards, whose music-based gameplay will make us enjoy an excellent playlist while we face a mega corporation. Those who love series like Devil May Cry and Bayonetta will be delighted. 
                            "
GameSpot,https://www.gamespot.com/reviews/hi-fi-rush-review-good-vibes-only/1900-6418023/,"Feb  1, 2023",90,Positive,"
                                Despite these missteps, Hi-Fi Rush is a tremendous game that's equal parts explosive, joyous, and dripping with style. It feeds on the power of nostalgia by evoking games like Jet Set Radio and Viewtiful Joe with its old-school vibes and contagious energy, but it's also completely fresh and exciting in its own right. For as much as I adore horror games and have enjoyed Tango's previous output with The Evil Within series and Ghostwire: Tokyo, it's refreshing that the studio hasn't been pigeonholed into creating games within a singular genre, and can suddenly emerge one day with an infectious rhythm-action game that is sure to live long in the memory.
                            "
SpazioGames,https://www.spaziogames.it/hi-fi-rush-recensione/,"Feb  1, 2023",90,Positive,"
                                Hi-Fi Rush is a rhythmic adventure full of action, humor and love for videogames, which no fan of the genre should miss.
                            "
Vandal,https://vandal.elespanol.com/analisis/xsx/hifi-rush/134194#p-97,"Jan 31, 2023",90,Positive,"
                                Best of all, the execution is perfect, delighting us with a very fresh, unique and original proposal that works wonderfully, an impeccable visual style with personality, characters that overflow with charisma, outstanding combat, a soundtrack of 10 and a development that does not know the word boredom. Without a doubt, a very necessary game in an industry where new ideas are increasingly scarce and where fun is not always easy to find. Do not hesitate and give it a chance, we assure you that you will not regret letting yourself be seduced by its catchy rhythm.
                            "
LevelUp,https://www.levelup.com/Xbox-Series-XS/juegos/722397/HiFi-Rush/review,"Jan 31, 2023",90,Positive,"
                                Hi-Fi RUSH is an amazing rhythmic and action game that feels unique in the Xbox repertoire. With great combat, charismatic cast and an unbelievable world, it is a must play for everyone with a Xbox Series X|S.
                            "
GameMAG,https://gamemag.ru/reviews/hi-fi-rush-review,"Jan 31, 2023",90,Positive,"
                                Hi-Fi Rush is not only a great surprise for the whole Xbox audience, but also a strong contender for the Game of the Year. Tango Gameworks should definitely experiment more often.
                            "
The Loadout,https://www.theloadout.com/hi-fi-rush/review-xbox,"Jan 31, 2023",90,Positive,"
                                Hi-Fi Rush is a great little rock-and-roll game and one that deserves every ounce of praise it gets. From the lovable cast, to the incredible gameplay, Hi-Fi Rush is the ultimate hack-and-slash-rhythm game that every Xbox owner must play. 
                            "
GamingBolt,https://gamingbolt.com/hi-fi-rush-review-just-what-the-doctor-ordered,"Jan 31, 2023",90,Positive,"
                                Even though it has flashes of games that came before, Hi-Fi Rush is a unique, masterful game that accomplishes everything it sets out to with plenty of style and charm to spare.
                            "
IGN Spain,https://es.ign.com/hi-fi-rush/187565/review/analisis-de-hi-fi-rush-la-mayor-sorpresa-de-los-padres-de-the-evil-within-2,"Jan 30, 2023",90,Positive,"
                                Hi Fi Rush is a surprise in every way: launch, gameplay, story, voice acting, performance... the first must-have of 2023.
                            "
Gamereactor UK,https://www.gamereactor.eu/hifi-rush-1237323/,"Jan 30, 2023",90,Positive,"
                                I simply have to salute Bethesda and Microsoft, and first and foremost the developer Tango Gameworks for a blockbuster release and a game that I'd probably call one of the best platformers I've played during my almost 50 years on planet Earth.
                            "
Xbox Achievements,https://www.xboxachievements.com/game/hi-fi-rush/review/,"Jan 30, 2023",90,Positive,"
                                Tango Gameworks’ rhythm-based actioner is not only one of the most enjoyable games in years, it’s also one of the most stunningly beautiful, with fantastic music and beat-matching combat to boot. Hi-Fi Rush is, indeed, as its name suggests, a rush. 
                            "
Everyeye.it,https://www.everyeye.it/articoli/recensione-hi-fi-rush-meravigliosa-sorpresa-xbox-bethesda-60262.html,"Jan 30, 2023",90,Positive,"
                                Hi-Fi Rush is a gamble won hands down by Tango Gameworks. Venturing into unknown terrain, the software house behind The Evil Within and Ghostwire: Tokyo brings a light-hearted, stylish and addictive experience to the Microsoft ecosystem. One combo after another, the songs that accompany the crazy mission of Chai and his companions have conquered us, for a new IP that we hope represents only the first in a series of unexpected experiments for the Bethesda team. Hi-Fi Rush - available on Xbox Game Pass or in standalone format for 29.99 euros - is in short a thick action game, capable of giving gamers the most important thing: hours and hours of fun.
                            "
Digital Trends,https://www.digitaltrends.com/gaming/hi-fi-rush-review-xbox-series-x/,"Jan 30, 2023",90,Positive,"
                                Hi-Fi Rush cracks the rhythm-action genre wide open to deliver Tango Gameworks' most confident, stylish, and surprising project to date.
                            "
Meristation,https://as.com/meristation/analisis/hi-fi-rush-analisis-el-juego-que-no-sabiamos-que-necesitabamos-n/,"Jan 30, 2023",90,Positive,"
                                Hi-Fi Rush is a celebration of the videogame. A perfect fusion of hack and slash and rhythm game, with stunning art and positive vibes. We need more surprises like this.
                            "
Pure Xbox,https://www.purexbox.com/reviews/xbox-series-x/hi-fi-rush,"Jan 30, 2023",90,Positive,"
                                There's an infectious, easy-going joy to this whole adventure and it's backed up by addictive melee gameplay that strikes a masterful balance between having enough depth to challenge rhythm game aficionados whilst also making sure there's enough flexibility that, even if you're not particularly great at sticking to the beat, you'll still have a great time. It doesn't take itself too seriously, in short, and it's all the better for it.
                            "
Hobby Consolas,https://www.hobbyconsolas.com/reviews/analisis-hi-fi-rush-xbox-series-xs-pc-1191084,"Jan 28, 2023",90,Positive,"
                                Hi-Fi Rush mixes the intensity and complexity of a hack'n slash with the high demanding precision of a rhythm game. The result is a fresh and vibrant experience where every combat encounter is a rush of adrenaline.
                            "
IGN Italia,https://it.ign.com/hi-fi-rush/200091/review/hi-fi-rush-la-recensione,"Jan 30, 2023",86,Positive,"
                                Hi-Fi Rush is an energetic and frantic game, with lots of character and characters. Some of its bosses encounters are amongst the best I've played in a long time. The weakest part is its rhythm-based system, but the game is smart enough to let the players enjoy it even when they're not beating everything up following its tempo.
                            "
Digital Chumps,https://digitalchumps.com/hi-fi-rush-review/,"Feb  3, 2023",85,Positive,"
                                Hi-Fi Rush lives up to the hype it has received. It’s a fun experience with a musical backbone that works perfectly with its action platformer roots. Definitely a huge plus for the Xbox family.
                            "
SECTOR.sk,https://www.sector.sk/recenzia/38529/hi-fi-rush.htm,"Jan 31, 2023",85,Positive,"
                                A week ago, we didn't know that something like this was going to happen. Today, it's hard to get the game out of your mind. Hi-Fi RUSH is a unique mix of fun action and great music, which will put a smile on your face from pure joy.
                            "
Jeuxvideo.com,https://www.jeuxvideo.com/test/1702173/hi-fi-rush-ne-ratez-surtout-pas-l-enorme-surprise-du-game-pass-de-ce-debut-d-annee.htm,"Jan 30, 2023",85,Positive,"
                                What a slap! With this luminous shadow drop sold at a low price and integrated into the Game Pass, Bethesda sends the conventions of the video game industry waltzing away. From the waltz to Tango Gameworks, there is only one step that we invite you to take without delay. After fear, the studio brilliantly relies on ardor. Hi-Fi RUSH plays a score of all the devils where rhythm, platform and fight form an euphoric melody and without major false note. By playing on the measures but having fun in excess, this rush is our crush from the beginning of the year.
                            "
Multiplayer.it,https://multiplayer.it/recensioni/hi-fi-rush-recensione.html,"Jan 30, 2023",85,Positive,"
                                Hi-Fi Rush excellently blends the action and rhythm game genres like few before it managed to do. It's fresh and fun, it has a lighthearted and enjoyable storyline, but yet is supported by a massively deep combat system. And lot, lot of extra-content after you finish it.
                            "
But Why Tho?,https://butwhytho.net/2023/01/hi-fi-rush-review/,"Jan 28, 2023",85,Positive,"
                                Even with its few distracting flaws, almost anyone will find something worthwhile in Hi-Fi Rush. Its seamless integration of rhythm into exploration and combat is met with a harmonious and interesting soundtrack. Colorful, engaging, and funny, anybody will be able to pick up this title easily.
                            "
GLHF on Sports Illustrated,https://videogames.si.com/reviews/hi-fi-rush-review,"Mar  9, 2023",80,Positive,"
                                What you will remember about Hi-Fi Rush is just how charming it is. It’s so rare for a game from one of the major developers to take a creative risk, and Hi-Fi Rush does just that. Not only is the core of the game innovative, but the way each character is written takes a big risk of having people switch off before they develop and you grow to love them. I hope Hi-Fi Rush is incredibly successful. I hope it teaches the industry that creative innovation can also create profits, and we see more new and interesting ideas from the big boys in the future.
                            "
Guardian,https://www.theguardian.com/games/2023/feb/04/hi-fi-rush-tk-xbox-review-a-brawler-set-to-the-beat-of-a-drum,"Feb  4, 2023",80,Positive,"
                                This is a world that, robot assassins aside, is pleasurable to exist within and to explore, made all the sweeter by virtue of its unexpected arrival.
                            "
The Enemy,https://www.theenemy.com.br/xbox/criticas/review-hi-fi-rush,"Feb  3, 2023",80,Positive,"
                                Hi-Fi Rush arrived by surprise, unassumingly, without many compromises, and just like a rock star, it uses its personality to get the audience off the ground and mark everyone with a memorable experience. Although it still has an air of ""experimentation"" with bold gameplay but knows how to ""step on the brakes,"" Chai's adventure can quietly be considered one of the best surprises of recent times, and is probably what many gamers were needing but didn't know yet.
                            "
New Game Network,https://www.newgamenetwork.com/article/2632/hifi-rush-review/,"Jan 31, 2023",80,Positive,"
                                Hi-Fi Rush is a charming action game with a great art style, fun characters, and solid mechanics. Sometimes, that's all you need.
                            "
GamesRadar+,https://www.gamesradar.com/hi-fi-rush-review/,"Jan 31, 2023",80,Positive,"
                                Tango Gameworks breaks from expectation to release a bold rhythm-action game where combat isn't set to the sound of music but driven by it entirely. With its awesome battles, vivid visual design, and unwavering commitment to comedy, Hi-Fi Rush is an undeniably wild ride that shouldn't be ignored.
                            "
Screen Rant,https://screenrant.com/hi-fi-rush-game-review/,"Jan 30, 2023",80,Positive,"
                                Hi-Fi RUSH is an absolute delight. A simple idea that could have been extremely difficult to correctly develop, Hi-Fi RUSH is a real joy to play. Here's hoping that there are many more brilliant surprises to come this year, as Hi-Fi RUSH sets a high bar.
                            "
Metro GameCentral,https://metro.co.uk/2023/01/30/hi-fi-rush-review-the-best-xbox-series-x-exclusive-18186476/,"Jan 29, 2023",80,Positive,"
                                A very welcome surprise, that is one of the most enjoyably unique games on Xbox and one of the best rhythm action games in a very long time - as well as having arguably the best cel-shaded graphics ever seen.
                            "
VGC,https://www.videogameschronicle.com/review/hi-fi-rush/,"Jan 27, 2023",80,Positive,"
                                Hi-Fi Rush is oozing with style and confidence, but like a messy first album, there are some deep cut tracks that don’t hit as hard as the opening few hits. What can’t be denied, however, is how excited we are for the sophomore effort, and the seemingly limitless versatility that Tango Gameworks have shown off in this bold, out-of-nowhere joy.
                            "
Destructoid,https://www.destructoid.com/reviews/review-hi-fi-rush-destructoid-tango-gameworks/,"Feb 26, 2023",70,Mixed,"
                                For someone who also works in music journalism, my skills are shaky, to say the least. But, having taken the time to improve these skills, I now feel better equipped to appreciate the game for what it is: a fun, quirky, sometimes weird, and often cheesy critique of capitalism. When I was less focused on how perfectly I was playing, I had a much better time headbanging through each stage. Just give me a wider variety of music next time and I’m sold.
                            "
Edge Magazine,,"Feb 23, 2023",70,Mixed,"
                                Settling into Hi-Fi Rush's groove might require a recalibration - in your head, if not the latency settings - and the rewards are more intermittent than we'd like, but when they come, they're considerably greater than the occasional cheer from a non-existent audience. [Issue#382, p.98]
                            "
IGN France,https://fr.ign.com/hi-fi-rush/63449/review/test-hi-fi-rush-do-re-mi-fa-kill-la-kill-do,"Feb  3, 2023",70,Mixed,"
                                Hi-Fi Rush is a nice surprise from Tango Gameworks. The originality of the combat system, halfway in the world of rhythm games, is a gimmick that gives the game its strength but also its biggest weakness, making it repetitive. With ten hours to finish the game, it's not a torture either.
                            "
