source,link,date,grade,scoreType,text
Video Chums,https://videochums.com/review/fire-emblem-engage,"Jan 17, 2023",90,Positive,"
                                If you're new to the mainline Fire Emblem games albeit an enthusiast of SRPGs in general like I am then Engage will surely wow you with its tight old-school gameplay, incredible presentation, and fantastic cast of characters. Heck, it might even turn you into a dedicated fan.
                            "
Vooks,https://www.vooks.net/fire-emblem-engage-review/,"Jan 17, 2023",90,Positive,"
                                Fire Emblem Engage is an adventure I wanted to keep going, with characters you want to get to know even while the land is becoming mired in war. It feels like a celebration of the series’ past combined with a whole new story. I recommend Fire Emblem to fans and anyone who likes a good strategy RPG.
                            "
Destructoid,https://www.destructoid.com/reviews/review-fire-emblem-engage/,"Jan 17, 2023",90,Positive,"
                                If you were overwhelmed by Three Houses, this is a great follow-up that doesn't just follow that same formula: and in many ways, gets back to Fire Emblem basics.
                            "
GAMINGbible,https://www.gamingbible.co.uk/reviews/fire-emblem-engage-review-tactical-genius-plenty-of-spirit-802656-20230117,"Jan 17, 2023",90,Positive,"
                                The combination of strategy battles and social sim gameplay is more than enough to make Fire Emblem Engage a standout in the already bustling catalogue  of Nintendo Switch titles. But when you consider details like the Emblem characters, the multiplayer modes and the fact that it’s just a gorgeous game to look at, it’s hard to imagine this fantastical tale won’t be included in game of the year talks later in 2023.
                            "
Nintenderos,https://www.nintenderos.com/2023/01/analisis-fire-emblem-engage-nintendo-switch,"Jan 17, 2023",90,Positive,"
                                Fire Emblem Engage is a great celebration of the franchise's legacy. With a story and art style very reminiscent of contemporary anime, the game features classic gameplay with just enough new features to keep us hooked. If you're a fan of the series or like tactical RPGs, it's a must-have.
                            "
Nintendo Life,https://www.nintendolife.com/reviews/nintendo-switch/fire-emblem-engage,"Jan 17, 2023",90,Positive,"
                                Fire Emblem Engage is another stellar entry in this storied franchise, but it's also one that takes a noticeably different stance than its most recent predecessor. It's all about the combat this time around, at the expense of the relationships and romance that made Three Houses such a fan favourite, so if you're looking for that social element here, you're bound to be left feeling at least a tad disappointed. However, for those jonesing to get down and dirty with some sweet turn-based tactical action — action that's embedded in a satisfyingly OTT, beautifully presented anime narrative — this is as fine an example of the genre as you'll play this year.
                            "
Shacknews,https://www.shacknews.com/article/133709/fire-emblem-engage-review,"Jan 17, 2023",90,Positive,"
                                In any given moment in Fire Emblem Engage, you’re likely to see the ghostly shape of a long-gone hero fly into battle, as walls of ice spring forth from the ground, and nearby allies join together for an impossibly flashy – and deadly – sequence of attacks on an enemy general. All of this unfolds on a map you could swear you’ve seen before, and the entire setup feels like something out of a Fire Emblem fan’s fever dream.
                            "
TheSixthAxis,https://www.thesixthaxis.com/2023/01/17/fire-emblem-engage-review/,"Jan 17, 2023",90,Positive,"
                                Fire Emblem Engage balances the series' past and its future, offering a renewed focus on the tactical gameplay, an endearing cast of old and new faces, and the best visuals the franchise has ever seen.
                            "
GAMES.CH,https://www.games.ch/fire-emblem-engage/test/review-kjaK/,"Jan 17, 2023",89,Positive,"
                                Despite some minor shortcomings, anyone who loved previous tactical role-playing games from Intelligent Systems will quickly fall in love with Fire Emblem Engage. Especially in classic mode with permadeath switched on, the well animated battles are in top form. The new gameplay mechanics fit in perfectly, the battlefield design has nice surprises in store, the story is peppered with some interesting twists and the online multiplayer mode provides additional long-term motivation.
                            "
Gamersky,https://www.gamersky.com/review/202301/1559981.shtml,"Jan 25, 2023",88,Positive,"
                                Fire Emblem Engage is a treat for retro fans. It retains the best of the GBA title, with excellent level design and a rich combat system. But the story is very dumb, making it the game's biggest weakness. Fortunately, Fire Emblem Engage itself is still fun enough for anyone with a passion for SRPGs to have a good time.
                            "
IGN Italia,https://it.ign.com/fire-emblem-engage/199798/review/fire-emblem-engage-la-recensione,"Jan 17, 2023",88,Positive,"
                                If on the narrative side the differences compared to Three Houses may not please many, the many innovations made to the combat-system make Fire Emblem Engage a tactical JRPG of absolute thickness.
                            "
Universo Nintendo,https://universonintendo.com/analise-fire-emblem-engage/,"Feb 25, 2023",85,Positive,"
                                Fire Emblem Engage is a title that will divide series fans. Those that love the strategic gameplay will find one of the best titles in the series and one of the best strategy games of the Switch. For those that like the series for its stories and characters, it’s best to hope that the next title in the series fared better in this regard.
                            "
INVEN,https://www.inven.co.kr/webzine/news/?news=281231,"Feb  2, 2023",85,Positive,"
                                'Fire Emblem Engage' shines its charm of SRPG based on excellent combat system and character management. Even though there are some disappointments such as childish story and frequent loading screens, the game will never let down the players who focus on strategy and character growing side.
                            "
LevelUp,https://www.levelup.com/Nintendo-Switch/juegos/705002/Fire-Emblem-Engage/review,"Feb  1, 2023",85,Positive,"
                                Fire Emblem Engage explores new formulas with a splash of nostalgia. While it's full of chliché moments, its agile battle system will test in you in battle to come up with a good strategy. Fire Emblem Engage takes a risk with a new proposal that highlights his legacy.
                            "
Worth Playing,https://worthplaying.com/article/2023/1/24/reviews/135516-switch-review-fire-emblem-engage/,"Jan 24, 2023",85,Positive,"
                                Fire Emblem Engage is a mix of steps forward and back. On a gameplay level, it's pretty much the absolute best the franchise has ever been, with excellent level design, great new gimmicks and features, and a customization system that offers a ton of depth. The storyline feels too much like standard Fire Emblem to stand out, and the side content that isn't focused on combat feels tacked-on. It's still a delightful game to play, and despite my nitpicks, I had a fantastic time. Fire Emblem fans will find a lot to enjoy, even if the story might not be to their tastes.
                            "
Softpedia,https://www.softpedia.com/reviews/games/nintendo-switch/fire-emblem-engage-review-536880.shtml,"Jan 24, 2023",85,Positive,"
                                Newcomers to the series will find Fire Emblem Engage a great game, but they won’t truly know what a Fire Emblem game means until they play a previous title. Despite the few negatives, Fire Emblem Engage is a must for fans of the series, as well as newcomers who love turn-based strategy games.
                            "
AusGamers,https://www.ausgamers.com/games/fire-emblem-engage/review/,"Jan 19, 2023",85,Positive,"
                                Still, as far as challenge goes on the battlefield, Engage is right up there, and the game’s titular hook isn’t a be all, end all part of proceedings, serving as a functioning tool for combo experimentation as well as another source for that all-important nostalgia. All of which grabbed me far more than any other features of the game. And it’s something I happily engaged in for the roughly 45 hours or so I played and slaved and rewound. And as has become customary for this series, it comes highly recommended for die hard fans, while newcomers, in particular here, will get a lot from the game’s heady tie-in to Fire Emblems past. A great way to kick off Switch gaming in 2023.
                            "
Jeuxvideo.com,https://www.jeuxvideo.com/test/1687164/pourquoi-fire-emblem-engage-est-l-exclusivite-nintendo-switch-a-ne-pas-manquer-en-ce-debut-2023.htm,"Jan 17, 2023",85,Positive,"
                                With Fire Emblem Engage, the Nintendo Switch offers itself a first quality exclusivity at the start of 2023. Like Three Houses, the fights are always fluid and accessible, and even benefit from spectacular animations which reinforce the pleasure of play. also in depth thanks to the Emblem Fusion mechanic which offers tools to approach situations with intelligence. Beyond the quality of the design of its friendly characters, the title also shines with its successful graphic rendering for the Nintendo Switch, even if we note sometimes poor environments and a static staging. Finally, it is more by its not always practical menus and its classic story and more interventionist than Three Houses that the experience is a little fishing. Not enough to sulk the pleasure of this new Fire Emblem which remains an excellent way to start the year controller in hand.
                            "
Multiplayer.it,https://multiplayer.it/recensioni/fire-emblem-engage-recensione.html,"Jan 17, 2023",85,Positive,"
                                Fire Emblem Engage is hands down the best gameplay the series has ever had, but storywise is messy and poorly directed.
                            "
CGMagazine,cgmagonline.com/review/game/fire-emblem-engage-switch-review/,"Jan 17, 2023",85,Positive,"
                                It’s refreshing to play a Fire Emblem that places such an emphasis on tactical depth as Fire Emblem Engage. Not because the series wasn’t known for it,
but because recent entries have placed a stronger focus on the social aspects.
Engage is, in that sense, a return to form for the series.
                            "
PlaySense,https://playsense.nl/527081/review-fire-emblem-engage/,"Jan 17, 2023",85,Positive,"
                                Fire Emblem Engage is a title that presents you with an entertaining story and unique characters. Add to that tactical and in-depth combat, creating an excellent whole. This is complemented by colorful graphics and good audio. That the social aspects are limited and the activities in the central hub Somniel are not that engaging should be taken for granted, because the rest of the game is more than fine.
                            "
SpazioGames,https://www.spaziogames.it/fire-emblem-engage-recensione/,"Jan 17, 2023",84,Positive,"
                                Fire Emblem Engage is a great celebration of a more than 30 years old franchise, and also one of the best looking Switch games of the last months. We dare to say it's not one of the best episodes in the franchise, but it is, nonetheless, a great SRPG if you have at least fifty hours to invest in it.
                            "
Gaming Age,https://gaming-age.com/2023/02/fire-emblem-engage-review-for-nintendo-switch/,"Feb 10, 2023",83,Positive,"
                                All in all, I think Fire Emblem Engage is worth checking out. It’ll be a pretty appealing entry for both long-time and new Fire Emblem Fans, the Engage mechanic adds a fun layer to the already excellent combat system, and the bevy of new characters introduced are all generally entertaining. The look of the game is fantastic on the aging Switch hardware, bolstered by the excellent character designs, and the music is really well done. It might not be the best Fire Emblem on the Switch, but it’s still a really solid adventure regardless.
                            "
4Players.de,https://www.4players.de/4players.php/dispbericht/Switch/Test/44045/85248/0/Fire_Emblem_Engage.html,"Jan 28, 2023",83,Positive,"
                                Playful, strong round tactics spectacle with many guest stars from older parts of the series, compared to whose stories the new plot seems comparatively pale.
                            "
Power Unlimited,https://pu.nl/artikelen/review/fire-emblem-engage-review-switch-fire-emblem-fanfeestje/,"Jan 17, 2023",83,Positive,"
                                I would have preferred the cute anime designs and simple story after Three Houses, but otherwise Fire Emblem Engage is familiarly good. The maps in particular are very strong and offer enough challenge for the very strong Emblem Rings.
                            "
Nintenduo,https://nintenduo.com/analisis-fire-emblem-engage-nintendo-switch/,"Jan 17, 2023",83,Positive,"
                                Its story is not as good and impactful as Three Houses or Awakening, but in terms of gameplay it is the most cutting-edge and advanced Fire Emblem game to date.
                            "
COGconnected,https://cogconnected.com/review/fire-emblem-engage-review,"Jan 17, 2023",82,Positive,"
                                While Engage didn't win me over with its story, the mechanics are a different matter. I'm pleased that level grinding is being sidestepped in such a clever manner, though I still miss it. I loved how intense the battles are, every single time. Even with the Time Crystal, the stakes feel terribly high. Sure, the narrative feels more cliché than I'm used to. I wish it wasn't a good vs evil fetch quest. But the character bonds still tell a compelling tale all on their own. And though I didn't love the side content this time around, I'm still happy there's so much of it available. Overall, Fire Emblem Engage is an excellent entry in the franchise. You won't want to miss this one.
                            "
Het Nieuwsblad,https://www.nieuwsblad.be/cnt/dmf20230203_95936165,"Feb 17, 2023",80,Positive,"
                                With Engage, another top title is added to the Fire Emblem series. Unfortunately, the characters are not as noteworthy as the heroes that the game's Emblem rings pull from under the dust. But what Three Houses did for the story, Engage does for the action: raise the bar.
                            "
My Nintendo News,https://mynintendonews.com/2023/02/14/fire-emblem-engage-review/,"Feb 17, 2023",80,Positive,"
                                Though it is evident that some corners have been cut, with the focus predominantly being on returning characters and fighting mechanics, there are numerous instances throughout Fire Emblem Engage which also make it an unforgettable experience. Watching your social hub grow alongside Alear as you progress, filling it with the characters you have helped along the way, is all the drive you need to thoroughly enjoy each of the chapters and face off against the evil forces of Sombron once more.
                            "
Switch Player,https://switchplayer.net/2023/02/12/fire-emblem-engage-review/,"Feb 13, 2023",80,Positive,"
                                Fire Emblem Engage delivers fan-service and new ideas in equal measure, creating a game well worth your time even if you’re not a Fire Emblem fan. Despite some story and dialogue missteps, it’s another solid entry in the long-running franchise.
                            "
DarkZero,https://darkzero.co.uk/game-reviews/fire-emblem-engage-switch-review/,"Feb 13, 2023",80,Positive,"
                                Fire Emblem Engage is a great Fire Emblem title that focuses on its core roots, the tactical RPG elements; more so its combat. The story is fun, if straightforward, but by aiming for the battle mechanics of the game, Intelligent Systems has been able to make the series’ best combat to date. The addition of the Emblem Rings and what they bring to the characters and their customisation opens a better progression system for each hero while adding more elements to change how one should approach battle scenarios. Throw in some little quality-of-life improvements and new weapon behaviour and this is a Fire Emblem that enjoys celebrating its past heroes and games, but keeps the battles rejuvenated with these new mechanics to push it forward rather than leaving the gameplay stuck in the past where its heroes have come from.
                            "
Vgames,https://www.vgames.co.il/article/29583.html,"Feb 11, 2023",80,Positive,"
                                It doesn't have the story of Three Houses, but it has the heart of the series. The heart that made it beating for 33 years and - hopefully - counting. This is an excellent game for veterans of the series.
                            "
GameSkinny,https://www.gameskinny.com/ox1fb/fire-emblem-engage-review-lord-of-the-rings,"Feb  6, 2023",80,Positive,"
                                After Three Houses' gripping tale of political intrigue, it's certainly a little disappointing to see the series take a step backward narratively, but Fire Emblem Engage does enough well that it's not a huge drawback. Moving forward, if the franchise can combine the ideas of Three Houses and Engage, it could result in something truly special. 
                            "
GameOver.gr,https://www.gameover.gr/2023/01/19/fire-emblem-engage-review/,"Feb  4, 2023",80,Positive,"
                                Fire Emblem: Engage is an unexpected main series title that is about to grace the Nintendo Switch consoles of tactical RPG fans. It is a game that manages to pushes the boundaries of the overall gameplay experience, yet makes some choices that lead us to the very distant past of the series, where various elements did not just matter. It is a pleasant adventure that will happily take some 40 hours of the players’ free time, yet fails to provide a monumental experience like its predecessor did.
                            "
Gamereactor Finland,https://www.gamereactor.fi/fire-emblem-engage-on-erinomainen-peli-kehnolla-tarinalla-1014573/,"Feb  3, 2023",80,Positive,"
                                This is a good way to spend a few dozen hours once more. Hopefully they hire a good team of writers for the next game.
                            "
TouchArcade,https://toucharcade.com/2023/01/30/fire-emblem-engage-review-trek-to-yomi-eshop-download-out-now-radiant-silvergun-discount-price/,"Jan 31, 2023",80,Positive,"
                                Fire Emblem Engage is a more single-minded entry in the series than we’ve seen in a while. A lot of the things people may have loved about Three Houses don’t return here, and the battles are left to carry the load. The more focused design is by choice and I respect that, but it didn’t mean the characters and story had to be as diminished as they are. It’s fortunate that the battle mechanics ratchet things up this time, with the new Emblem system and the returning weapon triangle adding compelling strategic layers. Fans of the tactical aspect at the core of Fire Emblem will find a lot to like, but it’s a shame that the overall package isn’t as strong.
                            "
Attack of the Fanboy,https://attackofthefanboy.com/reviews/fire-emblem-engage-review-fire-emblem-is-forever/,"Jan 30, 2023",80,Positive,"
                                It's essential to remember that just a little over 10 years ago, Fire Emblem Awakening saved the franchise and brought it to the mainstream. Now, in the present, Fire Emblem Engage represents a series that now no longer needs saving. It's a series that has blockbuster appeal, with people eagerly anticipating every announcement. Fire Emblem is Forever, and I'm overjoyed to see friends and colleagues take to it so passionately, something I didn't think would happen.
                            "
Gamereactor Norway,https://www.gamereactor.no/fire-emblem-engage-1158433/,"Jan 30, 2023",80,Positive,"
                                Fire Emblem Engage feels like a Greatest Hits album for one of your favourite bands: a perfect gateway that provides a good introduction for newcomers and plenty of nostalgia for veterans.
                            "
Gamereactor UK,https://www.gamereactor.eu/fire-emblem-engage-1233043/,"Jan 30, 2023",80,Positive,"
                                Engage is the perfect gateway to the series, and a festival of good memories for those who already lived adventures with Marth, Celica, Sigurd and the rest.
                            "
Gamereactor Denmark,https://www.gamereactor.dk/fire-emblem-engage-1140503/,"Jan 30, 2023",80,Positive,"
                                If you love addictive strategic gameplay with as much challenge as you want, then you are guaranteed to have a party with Fire Emblem: Engage.
                            "
Cultured Vultures,https://culturedvultures.com/fire-emblem-engage-switch-review/,"Jan 27, 2023",80,Positive,"
                                Fire Emblem Engage does away with intricate relationships systems and in-depth downtime between battles, choosing to focus on a well-rounded tactical turn-based combat system that will be hard to beat this year.
                            "
GamersRD,https://gamersrd.com/fire-emblem-engage-review/,"Jan 25, 2023",80,Positive,"
                                Fire Emblem Engage will delight fans of the series with its use of rings and heroes from previous games. It may feel a little simpler than Three Houses in some ways, but it's still a good game.
                            "
But Why Tho?,https://butwhytho.net/2023/01/review-fire-emblem-engage-delivers-a-robust-tactics-experience-switch/,"Jan 25, 2023",80,Positive,"
                                When taken as a whole, Fire Emblem: Engage often succeeds, though where it falls,  it falls a bit hard. With a largely less-than-stellar cast keeping you company for the 40+ hours you may find yourself playing this game, there are many times when the game’s solid narrative and excellent gameplay aren’t able to carry it through to the finish it feels like it deserves.
                            "
Hardcore Gamer,https://hardcoregamer.com/reviews/review-fire-emblem-engage/436293/,"Jan 24, 2023",80,Positive,"
                                It’s a charming adventure that doesn’t overstay its welcome or drag the gameplay down with too much fluff in between fights and allows players who just want to get through everything quickly the opportunity while having a small handful of side activities that let those who want to take it slower the chance to take a breather between encounters. Fire Emblem Engage feels like one of the tightest experiences in the franchise since Awakening and is well worth giving a try for those looking for something with a perfect clash of old and new.
                            "
Eurogamer Germany,https://www.eurogamer.de/fire-emblem-engage-im-test-ich-kam-fur-die-kampfe-gut-so-denn-fur-die-story-ware-ich-nicht-geblieben,"Jan 22, 2023",80,Positive,"
                                For players who really got into Three House's story part, Engage will be met with some measure of disappointment. Its streamlined plot and structure are more accessible, but less intricate, and it doesn't help that the storyline never even threatens to leave well-trodden fantasy grounds. That's not a bad thing in and of itself, but it does feel like a step back. As soon as the battles start, though, everything is forgotten and forgiven ... Here's where Intelligent System's decades of experience are showing.
                            "
Post Arcade (National Post),https://financialpost.com/technology/gaming/fire-emblem-engage-review,"Jan 19, 2023",80,Positive,"
                                Players swarm to new Fire Emblem games not to see the latest in graphics and mechanics innovations, but rather to enjoy a bit of classic Japanese RPG-style melodrama mixed with captivating tactical combat. And that’s exactly what they get here. The added bit of nostalgia that comes with revisiting past heroes is just the gravy on the side.
                            "
SECTOR.sk,https://www.sector.sk/recenzia/38515/fire-emblem-engage.htm,"Jan 18, 2023",80,Positive,"
                                The timing after Three Houses is challenging and expectations are high, but FE Engage serves as the best of series in 30 years. Solid, although uneven plot, still interesting social interactions and non-combat parts are merged with excellent tactical strategy gameplay. Mixing new Engage tricks with established weapon-triangle and great maps layout will please fans for tens of hours.
                            "
The Enemy,https://www.theenemy.com.br/nintendo/criticas/review-fire-emblem-engage,"Jan 17, 2023",80,Positive,"
                                Fire Emblem Engage puts combat front and center, rewarding old fans of the series with one of the most versatile unit progression systems in franchise history. Three Houses fans will be disappointed to find, however, that the story and characters are as generic as they can be.
                            "
Hobby Consolas,https://www.hobbyconsolas.com/reviews/analisis-fire-emblem-engage-nintendo-switch-1183364,"Jan 17, 2023",80,Positive,"
                                With Fire Emblem Engage, Nintendo Switch hosts one of the best SRPGs on the market in terms of combat. However, we see this game as a missed opportunity to present a rounded classic title due to its storyline. The shadow of Three Houses has played against this game, despite the fact that seeing Marth is always a reason to rejoice.
                            "
